"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3552106,Socorro (SP),80000,80000,80000,75000,74000,73738,80000,74000,70000,70000,51000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
3552205,Sorocaba (SP),80000,70000,80000,80000,70000,79461,70000,-,79461,50000,80000,100000,100000,80000,80000,100000,100000,100000,100000,75000,100000
3552304,Sud Mennucci (SP),75000,68000,73469,89056,83204,74462,90000,90000,80333,73316,77000,70000,66094,78231,72526,64912,75000,82000,82000,75000,77333
3552403,Sumaré (SP),60000,60000,60000,60000,60000,59597,85000,60000,60000,60000,...,60000,60000,90000,90000,82850,90000,96552,85000,85000,85000
3552502,Suzano (SP),60000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-
3552551,Suzanápolis (SP),99889,100000,93125,85093,79289,87142,80000,-,90000,96979,96000,100000,60616,67493,58480,82469,80000,100000,70000,75000,76000
3552601,Tabapuã (SP),70000,70000,85000,85000,85000,84438,80000,85000,90000,90000,90000,90000,90000,90000,70000,90000,90000,90000,90000,85000,85000
3552700,Tabatinga (SP),85000,85000,85000,85000,85000,84437,85000,85000,88000,88000,90000,90000,90000,90000,64000,64000,88000,80000,70000,69360,72000
3552809,Taboão da Serra (SP),-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,...,...,...
3552908,Taciba (SP),60000,60000,60000,60000,60000,59605,60000,-,60000,70000,70000,70000,71600,80000,70000,90000,70000,70000,90000,90000,81111
3553005,Taguaí (SP),-,-,66000,80000,82000,80230,80000,80000,80000,81000,80000,82000,81500,85000,86000,-,-,-,-,-,-
3553104,Taiaçu (SP),95000,95000,85000,85000,99000,98353,85000,85000,90000,90000,90000,85000,85000,85000,80000,82000,83000,83000,70000,75000,75000
3553203,Taiúva (SP),70000,80000,80000,80000,91000,92391,95000,95000,95000,94000,90000,85000,85000,85000,75000,77000,85000,85000,75000,75000,75000
3553302,Tambaú (SP),80000,80000,80000,80000,80000,77518,80000,80000,80000,80000,80000,80000,71400,70000,50000,80000,80000,80000,90000,90000,80000
3553401,Tanabi (SP),75000,80000,80000,80000,70000,79463,86000,90000,100000,90000,90000,90000,85000,80000,70000,72000,80000,80000,70000,70000,80000
3553500,Tapiraí (SP),-,-,60000,60000,60000,60173,60173,60173,60173,...,-,...,...,...,...,...,-,-,-,-,-
3553609,Tapiratiba (SP),80000,80000,88000,85000,85000,84430,85000,90000,84000,84000,90000,85000,85000,95200,95200,95200,95200,95200,95200,80000,95200
3553658,Taquaral (SP),90000,90000,90000,90000,90000,89396,85000,98000,9000,85000,85000,80000,72034,72034,72034,80000,80000,80000,70000,75000,75000
3553708,Taquaritinga (SP),80000,80000,80000,80000,80000,82145,95000,95000,95000,95000,90000,90000,88000,88000,60200,90000,90000,90000,89000,90000,87000
3553807,Taquarituba (SP),60000,72903,60000,60000,70000,69530,70000,70000,70000,70000,70000,70000,70000,70000,70000,130000,70000,80000,70000,70000,70000
3553856,Taquarivaí (SP),-,-,-,-,-,-,30000,75000,30000,30000,-,40000,-,-,-,-,-,-,-,-,-
3553906,Tarabai (SP),-,-,-,-,-,-,62000,70000,65000,80000,75000,70000,70000,80000,77000,80000,80000,80000,80000,80000,80000
3553955,Tarumã (SP),93000,94000,93885,86238,87000,92415,93440,90000,87100,96000,88350,79867,82000,90000,83000,90000,74000,86000,93000,85000,90000
3554003,Tatuí (SP),80000,80000,80000,80000,80000,89409,80000,80000,89409,100041,89000,89000,-,80000,80000,80000,31699,80000,80000,80000,80000
3554102,Taubaté (SP),-,-,-,-,-,-,-,-,-,...,-,100,-,-,-,-,-,-,15385,-,-
3554201,Tejupá (SP),-,-,75000,75000,80000,79462,80000,80000,80000,80000,80769,80769,80500,85000,74776,86000,86000,86000,86000,85500,-
