CD_MUN;Município;value;YEAR;AET;NDVI;NPP;SOIL;TMIN;TMMX;PR
3521804;Itaí (SP);50000;2000;788;4890;8165;306;141;263;92
3521903;Itajobi (SP);80000;2000;701;5357;6631;292;162;287;99
3522000;Itaju (SP);;2000;695;5044;6397;245;158;282;94
3522307;Itapetininga (SP);80000;2000;713;5663;10918;226;137;247;94
3522406;Itapeva (SP);70000;2000;778;5911;11746;350;132;246;98
3522604;Itapira (SP);75000;2000;674;5895;10635;362;140;260;113
3522703;Itápolis (SP);80000;2000;693;5534;6670;283;161;285;100
3522901;Itapuí (SP);90000;2000;704;5039;6944;251;154;278;96
3523008;Itapura (SP);100000;2000;752;5135;4060;265;172;296;100
3523404;Itatiba (SP);;2000;667;5766;10459;303;133;245;107
3523503;Itatinga (SP);;2000;749;6042;12308;290;137;260;99
3523602;Itirapina (SP);100000;2000;682;5936;10048;291;141;253;110
3523701;Itirapuã (SP);;2000;669;6065;10802;414;150;253;128
3523800;Itobi (SP);80000;2000;688;5812;9639;471;144;265;114
3523909;Itu (SP);84096;2000;674;5763;11389;246;140;250;103
3524006;Itupeva (SP);70000;2000;662;5844;10926;281;140;251;104
3524105;Ituverava (SP);68000;2000;651;4776;6742;396;164;279;132
3524204;Jaborandi (SP);80000;2000;662;5185;6151;433;168;292;110
3524303;Jaboticabal (SP);75000;2000;672;4971;6973;354;161;283;109
3524709;Jaguariúna (SP);80000;2000;663;5350;9009;313;146;264;104
3524808;Jales (SP);;2000;675;5383;4135;245;162;291;98
3525102;Jardinópolis (SP);80000;2000;686;5327;7309;367;162;283;123
3525201;Jarinu (SP);75000;2000;670;6161;11476;319;131;241;108
3525300;Jaú (SP);75000;2000;701;5197;7535;261;149;271;100
3525409;Jeriquara (SP);100000;2000;645;5341;7729;380;157;258;133
3525607;João Ramalho (SP);60000;2000;805;5204;4708;149;159;284;97
3525706;José Bonifácio (SP);100000;2000;699;5091;5094;256;163;291;94
3525854;Jumirim (SP);100000;2000;653;5518;9750;182;149;264;94
3526001;Junqueirópolis (SP);50000;2000;708;5165;3564;170;168;291;90
3526407;Laranjal Paulista (SP);70000;2000;660;5451;9709;188;150;266;94
3526506;Lavínia (SP);85000;2000;680;5387;3860;200;163;288;92
3526704;Leme (SP);75000;2000;668;5446;8455;315;153;271;108
3526803;Lençóis Paulista (SP);60000;2000;731;5666;9404;265;142;269;97
3526902;Limeira (SP);70000;2000;646;5268;8656;250;148;266;102
3527009;Lindóia (SP);70000;2000;677;6003;11321;354;135;255;113
3527108;Lins (SP);80000;2000;740;5228;5762;262;154;282;97
3527256;Lourdes (SP);118333;2000;702;5359;4553;216;163;291;96
3527405;Lucélia (SP);70000;2000;712;5299;4018;160;163;288;91
3527504;Lucianópolis (SP);;2000;778;5403;7031;235;147;275;99
3527603;Luís Antônio (SP);68000;2000;704;5678;8907;330;155;278;115
3527702;Luiziânia (SP);70000;2000;718;5185;4602;181;156;283;94
3527900;Lutécia (SP);50000;2000;789;5348;5122;162;151;278;94
3528007;Macatuba (SP);69998;2000;717;5190;7603;249;150;275;97
3528106;Macaubal (SP);;2000;700;5287;4890;242;164;292;96
3528205;Macedônia (SP);;2000;674;5110;4810;300;166;295;101
3528304;Magda (SP);65000;2000;701;5546;4522;229;164;292;97
3528601;Manduri (SP);;2000;788;5259;8416;235;140;267;94
3528700;Marabá Paulista (SP);60000;2000;803;5233;2787;120;171;292;91
3528809;Maracaí (SP);70000;2000;821;4732;5011;156;161;283;96
3528858;Marapoama (SP);90000;2000;702;5388;6452;299;164;289;98
3528908;Mariápolis (SP);;2000;728;5141;3422;147;168;292;90
3529005;Marília (SP);;2000;768;5448;6039;180;148;276;94
3529203;Martinópolis (SP);60000;2000;783;5347;4010;134;167;289;94
3529302;Matão (SP);70000;2000;677;5521;7250;300;156;277;107
3529500;Mendonça (SP);70000;2000;700;5279;5431;263;163;291;94
3529609;Meridiano (SP);80000;2000;695;5405;4735;260;165;293;99
3529658;Mesópolis (SP);;2000;681;4941;4160;302;166;295;104
3529708;Miguelópolis (SP);100000;2000;677;4116;5746;434;167;290;129
3529807;Mineiros do Tietê (SP);90000;2000;709;4989;8068;260;145;266;103
3530003;Mira Estrela (SP);;2000;678;4488;4646;328;169;298;102
3530102;Mirandópolis (SP);85000;2000;680;5615;3822;202;164;289;91
3530201;Mirante do Paranapanema (SP);;2000;805;5155;3207;122;169;290;91
3530300;Mirassol (SP);80000;2000;687;5251;5594;306;163;291;98
3530409;Mirassolândia (SP);;2000;688;5257;5482;339;167;296;104
3530508;Mococa (SP);80000;2000;676;5856;9458;485;150;272;114
3530706;Mogi Guaçu (SP);82000;2000;669;5959;9915;373;147;268;110
3530805;Mogi Mirim (SP);80000;2000;661;5373;8901;349;144;264;107
3530904;Mombuca (SP);65000;2000;640;5225;8456;166;148;264;95
3531001;Monções (SP);;2000;703;5231;4939;231;164;292;96
3531209;Monte Alegre do Sul (SP);60000;2000;680;6501;11665;337;127;244;112
3531308;Monte Alto (SP);75000;2000;677;5456;6563;352;160;282;107
3531407;Monte Aprazível (SP);50000;2000;693;5281;5136;278;164;293;98
3531506;Monte Azul Paulista (SP);85000;2000;689;5704;6569;394;166;290;109
3531605;Monte Castelo (SP);;2000;680;5569;3570;186;171;294;85
3531803;Monte Mor (SP);;2000;653;5190;8870;205;148;264;99
3531902;Morro Agudo (SP);70000;2000;657;4828;6229;399;167;288;118
3532058;Motuca (SP);72000;2000;674;5169;7678;310;157;277;109
3532108;Murutinga do Sul (SP);;2000;698;5612;3901;210;167;291;92
3532157;Nantes (SP);64000;2000;830;4718;4729;156;166;286;97
3532207;Narandiba (SP);;2000;816;5545;4340;140;168;288;92
3532405;Nazaré Paulista (SP);30000;2000;672;7150;16214;367;125;230;113
3532504;Neves Paulista (SP);60000;2000;688;5301;5435;282;163;291;96
3532603;Nhandeara (SP);60000;2000;705;5266;4833;246;164;293;98
3532702;Nipoã (SP);80000;2000;690;5224;5066;266;164;292;95
3532801;Nova Aliança (SP);;2000;690;5353;5560;274;164;292;94
3532843;Nova Canaã Paulista (SP);;2000;688;5368;4096;209;165;292;99
3532868;Nova Castilho (SP);70000;2000;692;5097;4494;212;164;292;96
3532900;Nova Europa (SP);80000;2000;691;5488;7150;284;157;279;104
3533007;Nova Granada (SP);70000;2000;685;5293;5422;377;168;297;106
3533106;Nova Guataporanga (SP);;2000;696;5193;3393;189;170;292;87
3533205;Nova Independência (SP);;2000;691;5614;3838;197;171;294;88
3533254;Novais (SP);80000;2000;694;5378;6565;360;165;290;105
3533304;Nova Luzitânia (SP);100000;2000;699;5430;4695;214;164;293;95
3533403;Nova Odessa (SP);60000;2000;651;4814;8781;237;149;266;102
3533502;Novo Horizonte (SP);80000;2000;715;5062;6383;276;161;287;98
3533601;Nuporanga (SP);80000;2000;664;4865;7280;383;161;270;130
3533700;Ocauçu (SP);;2000;795;5692;6590;206;146;273;94
3533809;Óleo (SP);80000;2000;800;5337;8049;237;142;269;97
3533908;Olímpia (SP);70000;2000;684;5478;6188;402;168;294;106
3534005;Onda Verde (SP);70000;2000;684;5259;5409;379;167;295;106
3534104;Oriente (SP);;2000;759;5630;5985;159;149;277;92
3534203;Orindiúva (SP);62000;2000;692;5301;5459;387;170;301;110
3534302;Orlândia (SP);65000;2000;665;5116;7024;379;162;275;128
3534500;Oscar Bressane (SP);;2000;781;5413;5692;161;152;279;92
3534609;Osvaldo Cruz (SP);100000;2000;741;5561;4283;156;161;286;94
3534708;Ourinhos (SP);85000;2000;836;5047;5819;189;150;276;99
3534757;Ouroeste (SP);75000;2000;678;5204;4248;320;166;294;105
3534807;Ouro Verde (SP);;2000;729;5136;3113;177;172;295;90
3534906;Pacaembu (SP);;2000;706;5295;3688;171;165;289;91
3535002;Palestina (SP);100000;2000;686;5206;5357;351;169;299;105
3535101;Palmares Paulista (SP);75000;2000;694;5470;6627;351;164;289;105
