Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3507456;Borebi (SP);1120;1120;1500;2646;2742;2761;3466;6020;6720;6720;6720;5942;6795;6795;6796;6796;6119;4227;3463;3463;4292
3507506;Botucatu (SP);5500;6000;6000;6700;6700;7034;7000;7500;5000;12000;14000;14000;15000;15000;18000;18000;18000;20000;20000;20300;20300
3507605;Bragança Paulista (SP);-;-;100;100;100;105;105;105;120;120;120;110;100;100;100;100;70;80;80;5;5
3507704;Braúna (SP);1700;4100;4255;4338;4988;3265;4100;7000;5600;5600;6350;6350;6400;6200;4938;5353;6127;7245;7280;7100;7200
3507753;Brejo Alegre (SP);-;-;-;-;-;101;150;2550;2550;4450;4660;3045;4000;3400;2800;2500;2300;2000;2200;2200;1700
3507803;Brodowski (SP);10000;10000;10400;10400;10750;11181;11100;11650;14395;14395;14395;14394;14394;14394;14284;14394;14394;14394;14394;14394;14394
3507902;Brotas (SP);10500;10500;12000;12200;15000;16235;16000;16000;42480;29383;24307;26650;28000;26650;28000;30000;26800;26800;33000;33200;33200
3508009;Buri (SP);-;-;-;-;-;-;-;-;-;-;200;200;-;-;-;-;-;-;-;-;-
3508108;Buritama (SP);277;250;159;100;273;307;820;1000;1000;7000;7242;6490;4500;5225;5374;5036;5570;5700;9000;9000;9000
3508207;Buritizal (SP);8000;8000;8000;10000;10000;10499;10000;10000;10728;10728;10728;10728;10728;10728;11232;11232;11232;11232;11232;11600;11600
3508306;Cabrália Paulista (SP);545;-;600;600;600;630;200;800;500;800;1700;1700;1700;1700;700;2800;2800;1500;930;900;323
3508405;Cabreúva (SP);160;120;700;700;700;735;15;735;700;80;80;30;30;15;15;8;10;10;5;5;5
3508504;Caçapava (SP);800;810;800;800;800;997;1200;950;950;860;860;-;-;2000;2000;2000;2000;2000;2000;2000;2000
3508603;Cachoeira Paulista (SP);-;-;-;-;-;-;-;-;-;-;-;-;165;165;165;165;165;165;150;65;100
3508702;Caconde (SP);220;220;220;417;417;438;417;417;417;417;497;497;200;100;100;100;100;100;200;200;200
3508801;Cafelândia (SP);2350;2350;2068;3509;1920;2719;7500;-;3000;31120;45600;34097;-;32397;29853;29853;31204;28764;31554;31554;32635
3508900;Caiabu (SP);4612;4612;4612;4105;4612;4842;4612;4612;5182;7916;9895;8000;6089;6089;6089;6089;6089;6089;5950;5950;5950
3509007;Caieiras (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1;1;1
3509106;Caiuá (SP);2945;1800;1800;1774;1774;4410;6310;6310;6304;6304;7827;7827;9103;6092;6983;6573;5065;4918;4677;4795;2821
3509205;Cajamar (SP);-;...;...;...;...;...;...;...;...;...;...;...;-;-;...;...;...;...;-;-;-
3509254;Cajati (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;3
3509304;Cajobi (SP);1880;3763;2922;4310;4310;4969;5119;5617;6518;6518;6840;6849;8006;9607;9938;9938;7285;7851;8000;8000;7986
3509403;Cajuru (SP);13700;13000;13000;13000;13000;14384;18000;23250;23385;23385;23385;23385;23883;23883;21579;24000;25000;25000;13000;23000;23000
3509452;Campina do Monte Alegre (SP);-;-;-;-;-;-;-;320;2300;2585;1140;3000;1100;2500;1600;1600;1600;1600;1600;1200;-
3509502;Campinas (SP);2250;2250;2200;2250;2300;2820;2487;2686;1018;1018;...;2400;2200;2200;2200;2200;2200;1994;1600;1600;1600
3509601;Campo Limpo Paulista (SP);-;-;-;-;-;-;-;-;-;-;2;...;-;...;...;...;...;...;...;...;...
3509700;Campos do Jordão (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3509809;Campos Novos Paulista (SP);496;496;450;500;550;630;636;1500;1900;2000;4400;4500;4600;4800;6000;6500;7500;8000;7500;7000;7395
3509908;Cananéia (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5
3509957;Canas (SP);...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3510005;Cândido Mota (SP);10800;10800;13200;13200;10500;10947;16000;16000;20822;18458;19300;20800;21000;21000;22000;23000;23000;21000;21000;21000;21000
3510104;Cândido Rodrigues (SP);1800;1800;2000;2000;2000;2100;2300;2300;2200;2380;2240;2240;2500;2500;3710;3710;3510;3200;2740;2320;2340
3510153;Canitar (SP);4000;2350;1200;1250;1250;1365;3250;3000;3600;3600;3900;3900;3600;3620;3770;3863;3863;3863;2500;2500;2564
3510203;Capão Bonito (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3510302;Capela do Alto (SP);100;600;600;200;200;315;120;300;850;600;600;600;600;500;500;500;500;500;500;500;500
3510401;Capivari (SP);16889;16889;16800;20200;21300;14185;13511;17022;16889;19084;23000;21850;23000;22901;22901;22901;22901;22901;22901;23066;21500
3510500;Caraguatatuba (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;-;...;-;-;-;-;-;-
3510609;Carapicuíba (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3510708;Cardoso (SP);-;-;-;-;-;-;0;4500;4500;10000;8000;8500;6000;6000;12081;12081;12081;16673;16673;16673;16673
3510807;Casa Branca (SP);9000;9000;11000;13000;13000;14510;20000;20500;20500;20500;23000;22500;25000;21800;21800;22000;22000;22000;17800;17800;17800
3510906;Cássia dos Coqueiros (SP);52;52;52;70;130;315;400;550;300;1500;1550;1550;1550;1550;1550;1800;2000;1800;1800;1800;1800
3511003;Castilho (SP);3000;2942;1580;1580;2000;930;6018;15460;15460;22752;26000;29500;31500;23500;25195;26000;27100;26000;27100;38750;38750
3511102;Catanduva (SP);15100;14730;14500;14730;12000;14174;13500;13703;14000;14000;14000;14000;14000;14181;15423;15423;15423;15423;15423;15423;15423
3511201;Catiguá (SP);7000;7000;7000;7000;8000;8399;8500;8000;8500;8500;10500;8500;10500;10500;10500;10500;8500;8500;8500;8500;8500
3511300;Cedral (SP);400;400;419;419;2460;2625;3300;4350;4350;5800;6350;6350;6400;6500;6500;7100;7500;7500;5400;5600;5400
3511409;Cerqueira César (SP);1000;1000;1000;1400;1100;1470;1700;5000;8700;8000;10200;12000;12000;12000;12000;16000;16000;12300;12000;10000;10000
3511508;Cerquilho (SP);5000;5000;5000;5000;5000;5250;5000;5000;5000;4500;4700;5500;5500;2346;2346;2346;5000;5302;5302;5302;5302
3511607;Cesário Lange (SP);3722;3700;3400;3900;4200;4935;5000;6000;6000;5000;5000;5000;5500;7500;13200;13200;13200;13200;13200;13200;13200
3511706;Charqueada (SP);9500;9500;9500;9500;9500;9974;9000;9750;11150;11450;11450;11342;11500;11500;11300;11300;11300;11300;10300;9500;9500
3511904;Clementina (SP);2186;3200;2479;2332;3175;3661;2954;3830;5017;3830;7474;5515;5300;5861;4947;4982;5575;5964;6525;6600;5700
3512001;Colina (SP);12000;12000;16500;16500;16500;17760;19500;22000;22000;22000;22000;24500;25000;25000;28000;28900;27000;26000;25120;25120;25120
3512100;Colômbia (SP);60;454;454;532;532;10426;14290;22710;28490;30408;30408;25087;30178;32995;35400;38000;38000;37824;38000;38000;38000
3512209;Conchal (SP);1500;1500;800;900;920;966;850;3000;2200;850;900;535;708;2200;2500;2650;2650;2850;2850;2850;2800
3512308;Conchas (SP);484;170;170;170;363;381;700;1400;1400;1834;1464;1464;1834;1464;1464;2368;1834;1834;2668;2670;2670
3512407;Cordeirópolis (SP);6000;6000;6000;6000;6000;6299;6200;6200;6200;6400;6400;9949;9954;9954;10166;9954;9954;10166;10160;10020;10250
3512506;Coroados (SP);691;691;1104;1100;943;1844;5000;8500;8000;8500;10000;8886;8800;8500;8142;8675;8760;9420;8800;9300;9300
3512605;Coronel Macedo (SP);-;-;-;-;-;-;-;-;1000;1000;840;940;940;1200;1000;500;200;320;500;-;-
3512704;Corumbataí (SP);800;800;1127;2000;1891;2512;2700;2651;3100;3200;3000;3000;2480;4900;3304;3304;3700;3700;3700;3700;3700
3512803;Cosmópolis (SP);7000;-;7000;8100;8100;5145;5145;6021;5145;5145;...;8588;6081;6329;6329;6329;7592;7592;7592;6080;6080
3512902;Cosmorama (SP);-;-;-;-;900;1260;1500;3260;5000;10500;9500;10700;10000;10000;9500;8000;10000;17000;17000;17000;17000
3513009;Cotia (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3513108;Cravinhos (SP);17500;17500;17500;17500;17500;18770;18500;18500;22778;21785;21785;21780;21780;21780;21604;21780;21780;21780;21780;21780;21780
3513207;Cristais Paulista (SP);-;-;-;-;-;-;330;400;1800;1900;1900;1900;1900;4240;4241;4241;5200;5200;5500;5500;5500
3513306;Cruzália (SP);-;50;-;372;566;594;530;890;890;1381;1381;3037;2892;2892;2892;1521;1972;3215;3400;3470;3407
3513405;Cruzeiro (SP);10;10;10;10;10;21;21;-;21;22;25;25;25;25;25;25;25;25;25;25;25
3513504;Cubatão (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3513603;Cunha (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3513702;Descalvado (SP);18100;18100;14000;18000;17123;17375;18000;18000;18000;27100;28050;28589;23000;20000;30000;32000;32000;38000;28000;28000;29000
3513850;Dirce Reis (SP);-;-;-;-;-;-;-;100;-;110;195;125;130;1920;1985;1985;1985;1985;2000;2000;2000
3513900;Divinolândia (SP);-;-;-;-;-;-;-;120;120;120;200;200;70;50;50;50;50;50;-;-;-
3514007;Dobrada (SP);9500;12000;9600;9600;10300;10079;9670;9670;9800;9800;9800;9800;9800;9800;9800;9830;9830;9830;9800;10000;10000
3514106;Dois Córregos (SP);30000;30000;30000;33000;35000;30442;30000;34000;34862;36434;34862;36000;36000;36000;36000;36000;36000;36000;36500;36000;39000
3514205;Dolcinópolis (SP);-;-;-;-;-;-;-;60;0;900;1500;2000;2280;2500;2100;2900;3500;3200;2600;26400;2400
3514304;Dourado (SP);5088;5400;4320;6000;6000;6299;6000;6500;8577;8340;6844;7665;7300;8000;6800;7500;8000;6770;5100;5100;6000
3514403;Dracena (SP);-;-;-;-;1200;1260;4700;5766;8500;8500;10890;10890;11308;12740;13400;13400;13690;14180;15400;15400;12500
3514502;Duartina (SP);-;-;25;25;25;76;72;95;170;200;410;410;410;410;410;410;435;435;230;40;197
3514601;Dumont (SP);7000;5000;6000;7500;7500;7874;7500;7500;8500;8500;7500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500
3514700;Echaporã (SP);3560;3560;5050;4379;4000;4200;3662;3662;3479;6930;7098;7300;6200;6200;6200;6043;6043;5000;2400;2400;2400
3514809;Eldorado (SP);30;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
